CategoryID,ScoreFocusArea,SpaceTypeID,CategoryName,CategoryWeight,WeightSource,DisplayOrder,IsActive
CAT-WRESTLING-INFRASTRUCTURE-189B8C,Athletics and Wellness,SPT-WRESTLING-A78FB6,Infrastructure,3,Source,50,True
CAT-LOCKER-ROOMS-FUNCTION-9691BE,Athletics and Wellness,SPT-LOCKER-ROOMS-5ED7DB,Function,3,Source,20,True
CAT-LOCKER-ROOMS-OCCUPANT-EXPERIENCE-173B93,Athletics and Wellness,SPT-LOCKER-ROOMS-5ED7DB,Occupant Experience,3,Source,30,True
CAT-LOCKER-ROOMS-INFRASTRUCTURE-550623,Athletics and Wellness,SPT-LOCKER-ROOMS-5ED7DB,Infrastructure,3,Source,40,True
CAT-PE-FITNESS-ROOM-FUNCTION-560118,Athletics and Wellness,SPT-PE-FITNESS-ROOM-F9EFD1,Function,3,Source,20,True
CAT-PE-FITNESS-ROOM-AMENITIES-505A53,Athletics and Wellness,SPT-PE-FITNESS-ROOM-F9EFD1,Amenities,3,Source,30,True
CAT-PE-FITNESS-ROOM-INFRASTRUCTURE-3DFE98,Athletics and Wellness,SPT-PE-FITNESS-ROOM-F9EFD1,Infrastructure,3,Source,40,True
CAT-ATHLETICS-WING-FUNCTION-627E29,Athletics and Wellness,SPT-ATHLETICS-WING-31743B,Function,3,Source,20,True
CAT-ATHLETICS-WING-AMENITIES-D0AD4A,Athletics and Wellness,SPT-ATHLETICS-WING-31743B,Amenities,3,Source,30,True
CAT-OUTDOOR-ATHLETIC-FUNCTION-E3F781,Athletics and Wellness,SPT-OUTDOOR-ATHLETICS-DEC8BC,Function,3,Source,20,True
CAT-OUTDOOR-ATHLETIC-AMENITIES-D8D932,Athletics and Wellness,SPT-OUTDOOR-ATHLETICS-DEC8BC,Amenities,9,Source,30,True
CAT-OUTDOOR-ATHLETIC-INFRASTRUCTURE-CA4A8A,Athletics and Wellness,SPT-OUTDOOR-ATHLETICS-DEC8BC,Infrastructure,3,Source,40,True
CAT-DINING-COMMONS-OCCUPANT-EXPERIENCE-BE947B,Shared Spaces,SPT-DINING-COMMONS-B2FE05,Occupant Experience,3,Source,20,True
CAT-DINING-COMMONS-INFRASTRUCTURE-3678CE,Shared Spaces,SPT-DINING-COMMONS-B2FE05,Infrastructure,3,Source,30,True
CAT-DINING-COMMONS-FUNCTION-8DA6BD,Shared Spaces,SPT-DINING-COMMONS-B2FE05,Function,3,Source,40,True
CAT-DINING-COMMONS-AMENITIES-84F801,Shared Spaces,SPT-DINING-COMMONS-B2FE05,Amenities,3,Source,50,True
CAT-KITCHEN-FUNCTION-FBE08A,Shared Spaces,SPT-KITCHEN-B9C465,Function,3,Source,20,True
CAT-KITCHEN-INFRASTRUCTURE-C60377,Shared Spaces,SPT-KITCHEN-B9C465,Infrastructure,3,Source,30,True
CAT-EMPOWER-CENTER-FUNCTION-798A58,Empower Center,SPT-EMPOWER-CENTER-B88577,Function,3,Source,20,True
CAT-EMPOWER-CENTER-INFRASTRUCTURE-FA3F3B,Empower Center,SPT-EMPOWER-CENTER-B88577,Infrastructure,3,Source,30,True
CAT-EMPOWER-CENTER-OCCUPANT-EXPERIENCE-401E31,Empower Center,SPT-EMPOWER-CENTER-B88577,Occupant Experience,3,Source,40,True
CAT-EMPOWER-CENTER-AMENITIES-888B8E,Empower Center,SPT-EMPOWER-CENTER-B88577,Amenities,3,Source,50,True
CAT-NEIGHBORHOOD-OCCUPANT-EXPERIENCE-1F4AA9,Neighborhoods,SPT-NEIGHBORHOOD-D091AE,Occupant Experience,3,Source,20,True
